video link,end time
https://www.youtube.com/watch?v=biCFAgYwiig,chapter
https://www.youtube.com/watch?v=biCFAgYwiig,chapter
https://www.youtube.com/watch?v=biCFAgYwiig,chapter
https://www.youtube.com/watch?v=biCFAgYwiig,chapter
https://www.youtube.com/watch?v=biCFAgYwiig,chapter
https://www.youtube.com/watch?v=biCFAgYwiig,chapter
https://www.youtube.com/watch?v=biCFAgYwiig,chapter
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,0:13
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,0:40
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,0:47
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,1:14
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,1:22
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,1:46
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,2:00
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,2:22
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,2:38
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,2:54
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,3:17
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,3:29
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,4:04
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,4:19
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,4:54
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,5:17
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,5:26
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,5:35
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,6:12
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,6:22
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,6:34
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,6:55
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,7:11
https://www.youtube.com/watch?v=1SxhKOeJ6dQ,7:40
